id,title,url,editors,year,in_franzini,in_sahle,franzini_id,tei_declared,xml_downloadable,available,period,language,variance,ride
0268,Die Relatio Adelberts von Heidenheim und der Text Ilsungs,http://www.forschungsdatenarchiv.escience.uni-tuebingen.de/adlils/,,,yes,no,209,yes,yes,no,Middle Ages,LAT,yes,no
0269,Die Relatio Adelberts von Heidenheim und der Text Ilsungs,https://vergil.uni-tuebingen.de/publikationen/adl_ils_schwaderer/einleitung.html,"Ed. Christian Schwaderer. Tübingen: Universität Tübingen, 2016.",2016,no,yes,,,,,,,,
0270,Die Schatullrechnungen Friedrichs des Großen,https://quellen.perspectivia.net/de/schatullrechnungen/start,"Bearbeitet von Ralf Zimmer. Bonn: perspectivia.net, 2011. Zweite erweiterte Online-Edition, 2018.",2011,no,yes,,,,,,,,
0271,Die Stapfer-Enquête. Edition der Helvetischen Schulumfrage von 1799,http://www.stapferenquete.ch,"Hg. von Schmidt, H.R. / Messerli, A. / Osterwalder, F. / Tröhler, D. Bern: 2015.",2015,no,yes,,,,,,,,
0272,Die Urkunden der Arnulfinger,http://web.archive.org/web/20131004095227/http://www.uni-bonn.de/~uph202/arnulfinger.shtml,"Hg. von Ingrid Heidrich. Bonn: Universität Bonn, 1998-2004.",1998,no,yes,,,,,,,,
0273,Die Urkunden und Akten des Klosters und des Oberamts Königsfelden,https://www.koenigsfelden.uzh.ch,"Herausgegeben von Colette Halter-Pernet, Tobias Hodel und Simon Teuscher. Zürich: Historisches Seminar der Universität Zürich, 2022.",2022,yes,yes,336,yes,yes,yes,Middle Ages,GER,yes,no
0274,Die Weltbeschreibung des Leonhard Millinger,http://diglib.hab.de/edoc/ed000223/start.htm,"Hg. von Peter Andorfer. Wolfenbüttel: Herzog August Bibliothek, 2013. (Editiones Electronicae Guelferbytanae 12)",2013,no,yes,,,,,,,,
0275,Digenis Akritis: Greek and Slavic,http://digenis.obdurodon.org,"Ed. by Robert Romanchuk and Thuy-Linh Pham. Maintained by Robert Romanchuk and David J. Birnbaum. Tallahassee (FL)/Pittsburgh (PA): Florida State University / University of Pittsburgh, 2017.",2017,no,yes,,,,,,,,
0276,digi Florimont - archive numérique du 'Roman de Florimont' d'Aimon de Varennes,http://digiflorimont.huma-num.fr/flsite/florimont.html#,"Projet DigiFlor. Grenoble: Université de Grenoble Alpes, 2017-2019.",2017,no,yes,,,,,,,,
0277,Digitaal Oorkondenboek van Noord-Brabant,http://www.donb.nl/,"Uitgegeven door Geertrui Van Synghel. Den Haag: Huygens ING, 2010-.",2010,no,yes,,,,,,,,
0278,Digital Athenaeus,http://digitalathenaeus.org/,,,yes,no,244,yes,yes,no,Antiquity,GRC,partly,no
0279,"Digital Day Thoughts: A comparative encoding of the quarto and octavo editions of *The Relief; or, Day Thoughts: a Poem* (1754) by Henry Jones.",http://www.scholarsgrotto.com/collections.php,"Ed. by Daniel J. Johnson. s.l.: Scholars’ Grotto, 2014.",2014,no,yes,,,,,,,,
0280,Digital Dinah Craik,http://tapasproject.org/node/443,"Dir. by Karen Bourrier. Calgary (AB): University of Calgary, 2016-.",2016,no,yes,,,,,,,,
0281,Digital Donne: The Online *Variorum*,http://digitaldonne.tamu.edu/index.html,"Kelley Bradley, Meredith Burns, Cristina Cedillo, et.al. College Station (TX): Texas A&M University / Center of Digital Humanities Research (CoDHR), 2005-.",2005,no,yes,,,,,,,,
0282,Digital Edition of Fernando Pessoa. Projects and Publications,http://www.pessoadigital.pt,"Ed. by Pedro Sepúlveda and Ulrike Henny-Krahmer. Lisbon/Cologne: IELT, New University of Lisbon / CCeH, University of Cologne, 2017.",2017,no,yes,,,,,,,,
0283,Digital Edition of the Coptic Old Testament,https://coptot.manuscriptroom.com/biblical-books,"Project Coordinator: Frank Feder. Göttingen: Göttingen Academy of Sciences and Humanities in Lower Saxony, s.a. [probably 2025].",2025,no,yes,,,,,,,,
0284,Digital Edition of the Greek Papyrus P. Torino Cat. 2147,https://chiarasenatore.github.io/Papiro/,"Ed. by Chiara Senatore. Rome: Sapienza University in Rome, Turin: University of Turin, Museo Egizio in Turin, 2025.",2025,no,yes,,,,,,,,
0285,Digital edition of the Old Church Slavonic Codex Suprasliensis,http://suprasliensis.obdurodon.org/,Maintained by David J. Birnbaum. s.l.: 2011-2013.,2011,yes,yes,13,no,no,yes,Middle Ages,CHU,yes,no
0286,Digital Mishnah,http://www.digitalmishnah.org/,,,yes,no,64,yes,no,no,Antiquity,HEB,yes,no
0287,Digital Mishnah,http://www.digitalmishnah.umd.edu/,"Developed by Hayim Lapin, with Travis Brown and Trevor Muñoz. College Park (MD): Maryland Institute for Technology and the Humanities (MITH), 2012-2013.",2012,no,yes,,,,,,,,
0288,Digital Mishnah Project,https://editions.erabbinica.org/exist/apps/mishnah/$app/index.html,"Edited by Hayim Lapin. College Park (MD): Maryland Institute for Technology and the Humanities (MITH), 2018.",2018,no,yes,,,,,,,,
0289,Digital Mitford: The Mary Russell Mitford Archive,https://digitalmitford.org/index.html,"Maintained by Elisa E. Beshero-Bondar. Greensburg (PA): Mary Russell Mitford Society, 2013-.",2013,no,yes,,,,,,,,
0290,Digital Nestle-Aland,http://nestlealand.uni-muenster.de/,,,yes,no,73,yes,no,yes,Antiquity,GRC (NT),not provided,no
0291,Digital Nestle-Aland Prototype (Greek New Testament),https://web.archive.org/web/20250522170337/http://nestlealand.uni-muenster.de/,Published by the Institute for New Testament Textual Research of University of Münster in collaboration with Scholarly Digital Editions and the Deutsche Bibelgesellschaft. Münster / Birmingham / Stuttgart: 2003-2010.,2003,no,yes,,,,,,,,
0292,"Digital Paxton: Digital Collection, Critical Edition, and Teaching Platform",http://digitalpaxton.org/,"Ed. by Will Fenton. Philadelphia: Historical Society of Pennsylvania, 2016.",2016,no,yes,,,,,,,,
0293,Digital Renaissance Editions,https://digitalrenaissance.uvic.ca,"Brett Greatley-Hirsch (Coordinating Editor). Victoria: University of Victoria, 2015.",2015,no,yes,,,,,,,,
0294,Digital Scholarly Edition of Habsburg-Ottoman Diplomatic Sources 1500–1918,https://qhod.net/,"Geleitet von Arno Strohmeyer. Wien/Salzburg: Österreichische Akademie der Wissenschaften / Universität Salzburg, 2020.",2020,yes,yes,344,yes,yes,yes,Early Modern;Long Nineteenth Century,GER; LAT; OTA,yes,no
0295,Digital Schomburg Editions: African American Women Writers of the 19th century,http://digital.nypl.org/schomburg/writers_aa19/,"Managed by Howard Dodson. New York: The Digital Schomburg (The New York Public Library), 1998-1999.",1998,yes,yes,215,yes,no,yes,Long Nineteenth Century,ENG,no,no
0296,Digital Shikshapatri,http://www.shikshapatri.org.uk/,,,yes,no,144,no,no,yes,Long Nineteenth Century,SAN,not provided,no
0297,Digital Statius: The Achilleid,https://achilleid.unige.ch/welcome,"Ed. by Damien Nelis, Valéry Berlincourt, Lavinia Galli Milić, and Jean-Philippe Goldman. Geneva: University of Geneva, 2019.",2019,no,yes,,,,,,,,
0298,Digital Thoreau,http://digitalthoreau.org,"Directed by Paul Schacht. State University of New York at Geneseo, Thoreau Society, Walden Woods Project, s.a. [probably 2014].",2014,no,yes,,,,,,,,
0299,Digital Variants:,http://www.digitalvariants.org,"Hg. von Domenico Fiormonte et al. Edinburgh / Rom: University of Edinburgh / University of Roma Tre, 1996-.",1996,no,yes,,,,,,,,
0300,Digitale Briefausgabe Ernst Kantorowicz,https://data.mgh.de/databases/eka/public/bin/search_mask.html,"Andreas Öffner und Martina Hartmann (Projektleitung). München: Monumenta Germaniae Historiae, 2024.",2024,no,yes,,,,,,,,
0301,Digitale Edition der Briefe Erdmuthe Benignas von Reuß-Ebersdorf (1670-1732),http://erdmuthe.thulb.uni-jena.de,"Herausgegeben von Martin Prell und Julia Schmidt-Funke. Jena: Thüringische Landesbibliothek, 2017.",2017,yes,yes,253,yes,yes,yes,Early Modern,GER,yes,no
0302,Digitale Edition der Handschrift Cod. Guelf. 64 Weiss.,http://diglib.hab.de/edoc/ed000006/startx.htm,"Bearbeitet von Torsten Schaßan, Stefanie Gehrke und Fabian Schwabe. Wolfenbüttel: Herzog-August-Bibliothek, 2007-2010.",2007,yes,yes,1,partly,no,yes,Middle Ages,LAT,yes,no
0303,Digitale Edition der Korrespondenz August Wilhelm Schlegels,http://august-wilhelm-schlegel.de/,"Unter der Leitung von Jochen Strobel, bearbeitet von Claudia Bamberg u.a. Trier: Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften, 2014-2021.",2014,no,yes,,,,,,,,
0304,Digitale Edition der Korrespondenzen von Hans Georg und Hermann Nägeli,https://naegeli-briefe.ch,"Ed. by Daniela Kohler, Elias Kreyenbühl, Jesko Reiling. Zürich: Zentralbibliothek Zürich, 2026.",2026,yes,yes,357,yes,yes,yes,Long Nineteenth Century,GER,no,no
0305,Digitale Edition der Missa in E-Dur von Simon Sechter,https://web.archive.org/web/20230610165617/http://www.digital-musicology.at/de-at/edi_sechter.html,"Geleitet von Robert Klugseder, Peter Provaznik. Wien: Institut für Musikwissenschaft der Universität Wien, 2015.",2015,no,yes,,,,,,,,
0306,Digitale Edition des steirisch-landesfürstlichen Marchfutterurbars von 1414/1426,http://mfu.landesarchiv.steiermark.at/,"Bearb. von Matthias P. Perstling. Graz: Karl-Franzens-Universität / Historische Fachinformatik und Dokumentation, 2012.",2012,no,yes,,,,,,,,
0307,Digitale Edition und Kommentierung der Tagebücher des Fürsten Christian II. von Anhalt-Bernburg,http://diglib.hab.de/wdb.php?dir=edoc/ed000228&lang=en,,,yes,no,208,yes,yes,yes,Early Modern,GER,yes,no
0308,Digitale Edition und Kommentierung der Tagebücher des Fürsten Christian II. von Anhalt-Bernburg (1599–1656),http://www.tagebuch-christian-ii-anhalt.de/,"Bearbeitet von Arndt Schreiber, Alexander Zirr, Andreas Herz und Antoine Odier. Unter weiterer Mitarbeit von Maximilian Görmar, Anna-Maria Blank und Maximilian Blatt. Technische Umsetzung von Marcus Baumgarten und Maximilian Görmar. Wolfenbüttel: Herzog August Bibliothek, 2013-.",2013,no,yes,,,,,,,,
0309,Digitale Gesamtausgabe Jeremias Gotthelf,https://gotthelf-digital.ch/,"Hg. von Patricia Zihlmann und Christian von Zimmermann. Bern: Universität Bern, 2025.",2025,no,yes,,,,,,,,
0310,Digitale Marburger Büchner Ausgabe – Georg Büchner Portal,http://buechnerportal.de/,"Projektleitung: Roland Borgards, Burghard Dedner und Thomas Burch. Frankfurt am Main: Goethe Universität Frankfurt am Main, Marburg: Philipps Universität Marburg, Trier: Universität Trier, 2018–2024.",2018,no,yes,,,,,,,,
0311,Digitales Archiv zum Rostocker Liederbuch (DARL),http://www.rostocker-liederbuch.de,"Geleitet von Prof. Dr. Franz-Josef Holznagel. Rostock: Universität Rostock / Hochschule für Musik und Theater Rostock, 2012-.",2012,no,yes,,,,,,,,
0312,Digitalisierte Edition des Ältesten Appenzeller Landbuchs,http://www.ssrq-sds-fds.ch/teiviewer/,,,yes,no,199,yes,no,yes,Early Modern,GER,partly,no
0313,Diplomatische Dokumente der Schweiz (DodiS),http://www.dodis.ch/,"Hg. von der Forschungsstelle der Diplomatischen Dokumente der Schweiz, Kompetenzzentrum für die Geschichte der schweizerischen Aussenpolitik. Bern: Schweizerische Akademie für Geistes- und Sozialwissenschaften, 1997-.",1997,no,yes,,,,,,,,
0314,Divisiekroniek van Cornelius Aurelius,http://resources.huygens.knaw.nl/divisiekroniek/index_html,"Ed. by A. de Hamer. Amsterdam: Huygens ING, 2011.",2011,no,yes,,,,,,,,
0315,Documenta Nepalica – Editions,https://nepalica.hadw-bw.de/nepal/editions,"Geleitet von Prof. Dr. Axel Michaels. Heidelberg: Heidelberger Akademie der Wissenschaften, 2021-.",2021,no,yes,,,,,,,,
0316,Documents linguistiques galloromans,http://www.rose.uzh.ch/docling/,"Édition électronique dirigée par Martin Glessgen. Zürich: Universität Zürich, 2009; troisième édition 2016.",2009,no,yes,,,,,,,,
0317,Documents on the History of Religion and Law of Pre-modern Nepal,https://abhilekha.adw.uni-heidelberg.de/nepal/editions,"Bernd Schneidmüller, Axel Michaels, Astrid Zotter, Christof Zotter et. al. Heidelberg: Heidelberg Academy of Sciences and Humanities, 2013-2019.",2013,no,yes,,,,,,,,
0318,Dokumente zur liechtensteinischen Geschichte zwischen 1900 und 1930,http://www.e-archiv.li/editionHome.aspx?eid=8,"Bearbeitet von Lukas Ospelt, Stefan Frey und Paul Vogt. Vaduz: Liechtensteinisches Landesarchiv, 2015.",2015,no,yes,,,,,,,,
0319,Dokumente zur liechtensteinischen Geschichte zwischen 1928 und 1950,http://www.e-archiv.li/editionHome.aspx?eid=1,"Bearbeitet von Stefan Frey und Lukas Ospelt. Vaduz: Liechtensteinisches Landesarchiv, 2011.",2011,no,yes,,,,,,,,
0320,Domesday Explorer,http://www.domesdaybook.net,"Ed. by John Palmer et al. Chichester: Phillimore / Arts and Humanities Research Council, 2000; ISBN 978-1860771637; CD-ROM.",2000,yes,yes,105,no,not provided,yes,Middle Ages,LAT,not provided,no
0321,Dorothy Wordsworth’s Lake District,https://romantic-circles.org/editions/DW,"Ed. by Michelle Levy, Nicholas Mason and Paul Westover. A Romantic Circles Electronic Edition. College Park (MD): University of Maryland, 2023.",2023,no,yes,,,,,,,,
0322,DSE: The FEB-Web Scholarly Digital Edition,http://feb-web.ru/indexen.htm,"Unter der Leitung von Konstantin Vigursky. Moskau: Fundamental Digital Library Foundation et al., 2002.",2002,no,yes,,,,,,,,
0323,Durham Liber Vitae,http://web.archive.org/web/20170917142323/http://dlv.org.uk/,"Directed by David Rollason and Harold Short. London: Centre for Computing in the Humanities / King´s College London, 2003-.",2003,no,yes,,,,,,,,
0324,E-Sequence: Audiovisuelle digitale Repräsentation von Sequenzen Notkers des Stammlers († 912) aufgrund ausgewählter Handschriften.,https://www.e-sequence.eu,"Hg. von Stefan Morent. Tübingen: Musikwissenschaftliches Institut der Universität Tübingen, 2013.",2013,no,yes,,,,,,,,
0325,e-sequence: Digital Edition of the Saint Gall corpus of Sequences by Notker Balbulus,http://www.e-sequence.eu/en/,,,yes,no,95,no,no,yes,Middle Ages,LAT,not provided,no
0326,Early English Laws,https://earlyenglishlaws.ac.uk/,"Jane Winters (Principal Investigator). London: University of London, 2009. Relaunch 2019.",2009,no,yes,,,,,,,,
0327,Early Holocaust Testimony: Digital edition,https://early-testimony.ehri-project.eu/,"Directed by Michal Frankl, Magdalena Sedlická, Wolfgang Schellenbacher. Amsterdam: European Holocaust Research Center, 2020.",2020,no,yes,,,,,,,,
0328,Early Irish Glossaries Database,http://www.asnc.cam.ac.uk/irishglossaries/,,,yes,no,34,yes,no,yes,Middle Ages,SGA,yes,no
0329,Early Modern Ottoman Culture of Learning: Popular Learning between Poetic Ambitions and Pragmatic Concerns,https://mecmua.acdh.oeaw.ac.at,"Main Researchers: Gisela Procházka-Eisl and Hülya Çelik. Vienna: University of Vienna, 2015.",2015,no,yes,,,,,,,,
0330,Early Music Theory,https://earlymusictheory.org,Hrsg. von Ronald Woodley. Birmingham: Birmingham City University.,2013,no,yes,,,,,,,,
0331,Early Stuart Libels,http://www.earlystuartlibels.net/htdocs/index.html,Ed. by Alastair Bellany and Andrew McRae. Early Modern Literary Studies Text Series I (2005). purl.oclc.org/emls/texts/libels,2005,yes,yes,45,yes,no,yes,Early Modern,ENG,not provided,no
0332,Editing the Eartha M. M. White Collection,https://unfdhi.org/earthawhite,"Project Coordinator: Clayton McCarl. Florida: University of North Florida (UNF), 2016-.",2016,no,yes,,,,,,,,
0333,Édition critique des carnets de prison et de la correspondance privée d’Henri Delescluze à Belle-Île (1851-1853),http://elec.enc.sorbonne.fr/delescluze/,"Ed. by Christine Nougaret et Florence Clavaud. Paris: École nationale des chartes, 2015.",2015,no,yes,,,,,,,,
0334,Édition critique numérique des Mémoires de Léonard Michon,http://journal-michon.symogih.org/index.html,"Réalisée par Rosemonde Letricot. Lyon: LARHRA, s.a [probably 2015].",2015,no,yes,,,,,,,,
0335,Edition der falschen Kapitularien des Benedictus Levita,http://www.benedictus.mgh.de/,"Unter der Leitung von Gerhard Schmitz. München: Monumenta Germaniae Historica, 1998-.",1998,yes,yes,101,no,no,yes,Middle Ages,LAT,yes,no
0336,Edition der Familienkorrespondenz Ferdinands I.,https://ferdinand-korrespondenz.acdh.oeaw.ac.at,"Geleitet von Christopher F. Laferl. Salzburg: Paris Lodron Universität Salzburg (PLUS), 2022-.",2022,no,yes,,,,,,,,
0337,Edition des Briefwechsels zwischen Eduard Spranger und Käthe Hadlich,https://editionen.bbf.dipf.de/exist/apps/briefedition-spranger-hadlich/index.html,"Hrsg. von Karin Priem und Klaus-Peter Horn. Berlin: Bibliothek für Bildungsgeschichtliche Forschung des DIPF, 2017.",2017,no,yes,,,,,,,,
0338,Édition des journaux d'Alexandre Dumas,http://alexandredumas.org/,,,yes,no,219,no,no,yes,Long Nineteenth Century,FRE,no,no
0339,"Edition des rapports du Militärbefehlshaber Frankreich et des Synthèses des rapports des préfets, 1940-1944 / Edition der Lageberichte des Militärbefehlshabers Frankreich und der Synthesen der Berichte der französischen Präfekten, 1940-1944",https://web.archive.org/web/20121124055526/http://www.ihtp.cnrs.fr/prefets/,"Unter der Leitung von Marc Olivier Baruch und Stefan Martens. Paris: Centre national de la recherche scientifique (CNRS) / Deutsches Historisches Institut Paris (DHIP) / Institut d’Histoire du Temps Présent (IHTP), s.a. [wohl vor 2006].",2006,no,yes,,,,,,,,
0340,Édition des testaments enregistrés au parlement de Paris,http://corpus.enc.sorbonne.fr/testaments/,"Marion Chaigne. Paris: École nationale des chartes, s.a. [probablement 2012].",2012,no,yes,,,,,,,,
0341,Édition digitale et étude de la polémique autour de Góngora,https://web.archive.org/web/20240829092906/http://obvil.sorbonne-universite.fr/corpus/gongora/,"Ed. by Mercedes Blanco. Paris: Sorbonne Université-CLEA, 2014-.",2014,no,yes,,,,,,,,
0342,Édition électronique des chartes de l’abbaye de Saint-Denis,http://saint-denis.enc.sorbonne.fr/,"Hg. von Olivier Guyotjeannin und Gautier Poupeau. Paris: École des chartes, 2004. Neu installiert von Florence Clavaud 2010-.",2010,no,yes,,,,,,,,
0343,Édition électronique des œuvres de Jean-Joseph Rabearivelo,https://rabearivelo.huma-num.fr/exist/apps/jjr/index.html,"Clément Plancq. Paris: CNRS LATTICE, 2020-.",2020,no,yes,,,,,,,,
0344,Édition génétique des Caves du Vatican d'André Gide,https://www.dhi.ac.uk/gide-les-caves-du-vatican/data/sommaire/front.htm,"Pascal Mercier, Alain Goulet et al. (éds). Paris: Gallimard, 2001; sans ISBN.",2001,no,yes,,,,,,,,
0345,edition humboldt digital,https://edition-humboldt.de/,"Hg. von Ottmar Ette. Berlin: Berlin-Brandenburgische Akademie der Wissenschaften, 2001-.",2001,yes,yes,251,yes,yes,yes,Early Modern; Long Nineteenth Century,GER; FRE; ENG,yes,10.18716/ride.a.13.4
0346,Edition Ludwig Gumplowicz,http://gams.uni-graz.at/context:lge,"Hg. von Gerald Angermann-Mozetič. Graz: Archiv für die Geschichte der Soziologie in Österreich, 2010.",2010,no,yes,,,,,,,,
0347,Édition numérique des Actes des églises réformées de Bourgogne au XVIIe siècle.,http://synodes-protestants.symogih.org/index.html,"Edited by Yves Krumenacker. Lyon: LARHRA, s.a. [probably 2018].",2018,no,yes,,,,,,,,
0348,Éditions en ligne de l'École des chartes (ELEC): Chroniques latines de Saint-Denis,http://elec.enc.sorbonne.fr/chroniqueslatines/,"Hg. von Pascale Bourgain und Nicolas Legrand. Paris: École des chartes, 2006-.",2006,no,yes,,,,,,,,
0349,Éditions en ligne de l'École des chartes (ELEC): L'édit de Nantes et ses antécédents (1562-1598),http://elec.enc.sorbonne.fr/editsdepacification/,"Hg. von Bernard Barbiche und Gautier Poupeau. Paris: École des chartes, 2004-.",2004,no,yes,,,,,,,,
0350,Éditions en ligne de l'École des chartes (ELEC): L’Obituaire du Saint-Mont (1406),http://elec.enc.sorbonne.fr/obituairestmont/,"Hg. von Marie-José Gasse-Grandjea. Paris: École des chartes, 2004-.",2004,no,yes,,,,,,,,
0351,Éditions en ligne de l'École des chartes (ELEC): Le formulaire d'Odart Morchesne d'après la version du ms BnF fr. 5024,http://elec.enc.sorbonne.fr/morchesne/,"Hg. von Olivier Guyotjeannin, Serge Lusignan und Gautier Poupeau. Paris: École des chartes, 2004-.",2004,no,yes,,,,,,,,
0352,Editions of the Registers of the counts of Holland 1299-1345,http://www.historici.nl/Onderzoek/Projecten/RegistersVanDeHollandseGrafelijkheid1299-1345,,,yes,no,67,no,no,yes,Middle Ages,DUT,not provided,no
0353,Editionsprojekt Karl Gutzkow - Kommentierte digitale Gesamtausgabe,https://www.gutzkow.de/content/index.html,"Hg. von Martina Lauster, Gert Vonhoff et al. Exeter: University of Exeter, Erste Ausgabe 2000-2004, Relaunch 2022-2024.",2000,no,yes,,,,,,,,
0354,Edizione Critica Ipertestuale dello Zibaldone Laurenziano (Pluteo XXIX.8) autografo di Giovanni Boccaccio,http://rmcisadu.let.uniroma1.it/boccaccio/,A cura di Raul Mordenti. Roma: 1996-2004.,1996,yes,yes,131,yes,no,yes,Middle Ages,LAT,not provided,no
0355,Edizione digitale dei documenti dell'abbazia di S. Maria della Grotta di Vitulano (BN). 1200-1250,https://www.monasterium.net/mom/SMG1200-1250/collection,"Von Antonella Ambrosio, Giovanni Araldi, Maria Rosaria Falcone, Paola Massa, Vera Isabell Schwarz-Ricci, Maria Elisabetta Vendemia, Georg Vogeler. Neapel: Dipartimento di Studi Umanistici, 2018.",2018,no,yes,,,,,,,,
0356,Edizione digitale dell'Epistolario di Alcide De Gasperi,https://www.epistolariodegasperi.it/#/,"Ed. by Giuseppe Tognon. Trento: Fondazione Trentina A. De Gasperi, 2019.",2019,no,yes,,,,,,,,
0357,Edizione Digitale di FGrHist 104 [Aristodemo],http://pietroliuzzo.github.io/Aristodemo/,Ed. di Pietro Maria Liuzzo. S.l.: 2016.,2016,no,yes,,,,,,,,
0358,Edizione digitale Lettere di Bellini,https://licodemo.ilc.cnr.it/demo/bellini/build/,"Transcription by Graziella Seminara. Encoding by Angelo Mario Del Grosso, Erica Capizzi, Daria Spampinato, Santa Pellino. Catania: Fondazione Bellini, 2021-.",2021,no,yes,,,,,,,,
0359,Edward Ellerker Williams: Sporting Sketches during a Short Stay in Hindustane (1814),https://romantic-circles.org/editions/sketches/index.html,"Ed. by Tilar Mazzeo. A Romantic Circles Electronic Edition. College Park (MD): University of Maryland, 2002.",2002,no,yes,,,,,,,,
0360,Effectus amoris,http://magyar-irodalom.elte.hu/effectus/,"Tóth Tünde, Szegedi Béla. Budapest: Gépeskönyv, 1998-1999.",1998,yes,yes,277,no,no,yes,Early Modern,HUN; LAT,yes,no
0361,Ein Sermon von Ablass und Gnade: a digital edition,https://editions.mml.ox.ac.uk/editions/ablassgnade6/,"Transcribed by Christiane Rehagen, encoded by Emma Huber. Oxford: Taylor Institution Library, 2018.",2018,no,yes,,,,,,,,
0362,Einstein Archives Online,http://www.alberteinstein.info/,,,yes,no,211,no,no,yes,Modern,ENG; GER; FRE; ITA; LAT; HEB; ARA; JPN; HUN; NNO,not provided,no
0363,El Cancionero digital de Gómez Manrique (páginas 11-44),http://www.realbiblioteca.es/gomez_manrique/cancionero.html,,,yes,no,204,not provided,no,yes,Middle Ages,SPA,not provided,no
0364,Electronic Beowulf 4.0,http://ebeowulf.uky.edu/,"Ed. by Kevin Kiernan with Andrew Prescott. London: British Library, 2000; ISBN 978-0712304948 / 978-0472002603; 2 CD-ROMs. Electronic Beowulf 2.0. London: British Library, 2003; ISBN 978-0712343220. Electronic Beowulf 3.0. London: British Library, 2011; ISBN 978-0712351010; DVD-ROM. Electronic Beowulf 4.1. London: British Library, 2019.",2000,yes,yes,145,no,no,yes,Middle Ages,ANG,not provided,no
0365,Electronic Boethius - Alfred the Great's Old English 'Consolation Book',http://web.archive.org/web/20120226222144/http://beowulf.engl.uky.edu/~kiernan/eBoethius/inlad.htm,"Ed. by Kevin Kiernan. Lexington (KY): University of Kentucky, 2002-2006.",2002,no,yes,,,,,,,,
0366,Electronic Boethius CDROM,http://beowulf.engl.uky.edu/~kiernan/eBoethius/inlad.htm,,,yes,no,70,no,no,no,Middle Ages; Early Modern,ENM,not provided,no
0367,Electronic Variorum Edition of the Quixote,http://www.csdl.tamu.edu:8080/veri/index-en.html,,,yes,no,37,no,no,no,Early Modern,SPA,not provided,no
0368,Electronic Variorum Edition of the Quixote (EVE-DQ),http://cervantes.tamu.edu/V2/CPI/index.html,"Directed by Eduardo Urbina. College Station (TX): Texas A&M University, 1998-.",1998,no,yes,,,,,,,,
0369,"Eleventh-Century Anglo-Saxon Glossary From Ms. Brussels, Royal Library 1650: An Edition and Source Study",http://web.archive.org/web/20060828032335/http://www.wmich.edu/medieval/research/rawl/glossary/,"David W. Porter. Baton Rouge (LA): Southern University, 1995/1996.",1995,no,yes,,,,,,,,
0370,Elisabeth Charlotte (Liselotte) von der Pfalz - Digitale Edition der Heidelberger Briefe,https://digi.ub.uni-heidelberg.de/lld/index.html,"Hrsg. von Universitätsbibliothek Heidelberg. Heidelberg: Universitätsbibliothek, 2023.",2023,no,yes,,,,,,,,
0371,Elizabeth Montagu Correspondence Online,http://emco.swansea.ac.uk/edition/introduction/,"Ed. by Professor Michael Franklin. Swansea: Swansea University, 2020.",2020,no,yes,,,,,,,,
0372,EMA - Erich Mendelsohn Archiv - Der Briefwechsel von Erich und Luise Mendelsohn 1910-1953,http://ema.smb.museum/de/,"Unter der Leitung von Moritz Wullen und Thomas Gaehtgens. Berlin: Kunstbibliothek der Staatlichen Museen Berlin, 2014.",2014,no,yes,,,,,,,,
0373,Emily Dickinson's Archive,http://www.edickinson.org/,,,yes,no,146,yes,no,no,Long Nineteenth Century,ENG,not provided,no
0374,Emily Dickinson's Correspondences,http://rotunda.upress.virginia.edu/edc/,"Ed. Martha Nell Smith and Lara Vetter, with Ellen Louise Hart as consulting editor. Charlottesville: University of Virginia Press, 2008.",2008,yes,yes,147,yes,no,yes,Long Nineteenth Century,ENG,not provided,no
0375,"eMunch - Edvard Munchs Tekster, Digitalt Arkiv",http://www.emunch.no/,"Ed. by Mai Britt Guleng and Hilde Bøe. Oslo: Munch Museum, 2011.",2011,no,yes,,,,,,,,
0376,En el ojo del huracán. Cartas de ultramar a España 1823,http://www.cartas-de-ultramar.net/,,,yes,no,261,yes,yes,yes,Long Nineteenth Century,SPA; CAT,yes,no
0377,Encoding and Representing Repetition in Lyn Hejinian's My Life,https://www.scholarlyediting.org/2015/editions/intro.hejinian.html,"Ed. by Daniel Carter. Austin: University of Texas at Austin, 2015.",2015,no,yes,,,,,,,,
0378,"Engelbert Kaempfer: Amoenitatum Exoticarum Politico-Physico-Medicarum Fasciculi V. Lemgo 1712. Edition, Übersetzung und Kommentar.",http://diglib.hab.de/edoc/ed000081/startx.htm,Hg. von Detlef Haberland und Karl August Neuhausen. Bonn/Wolfenbüttel: 2010ff.,2010,no,yes,,,,,,,,
0379,Enquêtes menées sous les derniers capétiens,https://telma.irht.cnrs.fr/outils/enquetes/index/,"Éds. Elisabeth Lalou, Christophe Jacobs. Paris: Centre de ressources numériques TELMA, 2007. (Ædilis, Publications scientifiques, 4). [En ligne]",2007,no,yes,,,,,,,,
0380,Eötvös József: A falu jegyzóje,http://magyar-irodalom.elte.hu/totnes/eotvos/,,,yes,no,268,no,no,yes,Long Nineteenth Century,HUN,yes,no
0381,EPICAT - Cartes familiars de Catalunya (segles XVI - XIX),https://epicat.uab.cat/,"Dir. by Javier Antón Pelayo. Barcelona: Universitat Autònoma de Barcelona, 2021-.",2021,no,yes,,,,,,,,
