register,entry,lemma,reading,witnesses,type,isLemma
critical,Gg:0.1.0.5.0.0.72.1,,beᵍgere,,lit,false
critical,Gg:0.1.0.5.0.0.72.1,,begere,,orig,false
critical,Gg:0.1.0.5.0.0.72.1,,beggere,,mod,false
critical,Gg:0.1.0.6.0.0.16.0,,scholerscoler,,lit,false
critical,Gg:0.1.0.6.0.0.16.0,,scholer,,orig,false
critical,Gg:0.1.0.6.0.0.16.0,,scoler,,mod,false
critical,Gg:0.1.0.6.0.0.18.0,,ay,,lit,false
critical,Gg:0.1.0.6.0.0.18.0,,a,,orig,false
critical,Gg:0.1.0.6.0.0.18.0,,y,,mod,false
critical,Gg:0.1.0.6.0.0.72.0,,rygh fat / I vundyrtake,,lit,false
critical,Gg:0.1.0.6.0.0.72.0,,,,orig,false
critical,Gg:0.1.0.6.0.0.72.0,,rygh fat / I vundyrtake,,mod,false
critical,Gg:0.1.0.8.0.0.26.0,,Thaᵗ,,lit,false
critical,Gg:0.1.0.8.0.0.26.0,,Tha,,orig,false
critical,Gg:0.1.0.8.0.0.26.0,,That,,mod,false
critical,Gg:0.1.0.8.0.0.42.0,,meᵗᵉ,,lit,false
critical,Gg:0.1.0.8.0.0.42.0,,me,,orig,false
critical,Gg:0.1.0.8.0.0.42.0,,mete,,mod,false
critical,Gg:0.1.0.8.0.0.72.0,,nowʰer,,lit,false
critical,Gg:0.1.0.8.0.0.72.0,,nower,,orig,false
critical,Gg:0.1.0.8.0.0.72.0,,nowher,,mod,false
critical,Gg:0.1.0.10.0.0.14.2,,hiˢ,,lit,false
critical,Gg:0.1.0.10.0.0.14.2,,hi,,orig,false
critical,Gg:0.1.0.10.0.0.14.2,,his,,mod,false
critical,Gg:0.1.0.18.0.0.28.0,,in god,,lit,false
critical,Gg:0.1.0.18.0.0.28.0,,,,orig,false
critical,Gg:0.1.0.18.0.0.28.0,,that god,,mod,false
critical,Gg:0.1.0.18.0.0.50.0,,story,,lit,false
critical,Gg:0.1.0.18.0.0.50.0,,story,,orig,false
critical,Gg:0.1.0.18.0.0.50.0,,xxxxx,,mod,false
critical,Gg:0.1.0.19.0.0.72.2,,natnoȝtnoȝt,,lit,false
critical,Gg:0.1.0.19.0.0.72.2,,nat,,orig,false
critical,Gg:0.1.0.19.0.0.72.2,,noȝt,,mod,false
critical,Gl:0.1.0.0.0.3.65.0,,wharme,,lit,false
critical,Gl:0.1.0.0.0.3.65.0,,wharme,,orig,false
critical,Gl:0.1.0.0.0.3.65.0,,harme,,mod,false
critical,Gl:0.1.0.1.0.0.82.0,,ls a a,,lit,false
critical,Gl:0.1.0.1.0.0.82.0,,ls a,,orig,false
critical,Gl:0.1.0.1.0.0.82.0,,a,,mod,false
critical,Gl:0.1.0.2.0.0.173.0,,mystre,,lit,false
critical,Gl:0.1.0.2.0.0.173.0,,mystre,,orig,false
critical,Gl:0.1.0.2.0.0.173.0,,,,mod,false
critical,Gl:0.1.0.5.0.3.27.0,,you,,lit,false
critical,Gl:0.1.0.5.0.3.27.0,,you,,orig,false
critical,Gl:0.1.0.5.0.3.27.0,,,,mod,false
critical,Ha2:0.1.0.5.0.0.4.0,,had,,lit,false
critical,Ha2:0.1.0.5.0.0.4.0,,had,,orig,false
critical,Ha2:0.1.0.5.0.0.4.0,,,,mod,false
critical,Ha2:0.1.0.13.0.0.26.0,,dd,,lit,false
critical,Ha2:0.1.0.13.0.0.26.0,,,,orig,false
critical,Ha2:0.1.0.13.0.0.26.0,,d,,mod,false
critical,Ha2:0.1.0.15.0.0.40.0,,d,,lit,false
critical,Ha2:0.1.0.15.0.0.40.0,,,,orig,false
critical,Ha2:0.1.0.15.0.0.40.0,,d,,mod,false
critical,Ha3:0.1.0.0.0.3.110.0,,peyne,,lit,false
critical,Ha3:0.1.0.0.0.3.110.0,,peyne,,orig,false
critical,Ha3:0.1.0.0.0.3.110.0,,,,mod,false
critical,Ha3:0.1.0.5.0.0.49.0,,þanne,,lit,false
critical,Ha3:0.1.0.5.0.0.49.0,,þanne,,orig,false
critical,Ha3:0.1.0.5.0.0.49.0,,,,mod,false
critical,Ha4:0.1.0.18.0.0.54.0,,wyst,,lit,false
critical,Ha4:0.1.0.18.0.0.54.0,,,,orig,false
critical,Ha4:0.1.0.18.0.0.54.0,,wyst,,mod,false
critical,Hg:0.1.0.3.0.0.64.0,,wepe,,lit,false
critical,Hg:0.1.0.3.0.0.64.0,,,,orig,false
critical,Hg:0.1.0.3.0.0.64.0,,wepe,,mod,false
critical,Ht:0.1.0.2.0.0.7.0,,d,,lit,false
critical,Ht:0.1.0.2.0.0.7.0,,,,orig,false
critical,Ht:0.1.0.2.0.0.7.0,,d,,mod,false
critical,Lc:0.1.0.19.0.0.10.0,,and,,lit,false
critical,Lc:0.1.0.19.0.0.10.0,,and,,orig,false
critical,Lc:0.1.0.19.0.0.10.0,,,,mod,false
critical,Lc:0.1.0.19.0.0.72.0,,I,,lit,false
critical,Lc:0.1.0.19.0.0.72.0,,,,orig,false
critical,Lc:0.1.0.19.0.0.72.0,,I,,mod,false
critical,Ld1:0.1.0.8.0.0.39.0,,hete,,lit,false
critical,Ld1:0.1.0.8.0.0.39.0,,,,orig,false
critical,Ld1:0.1.0.8.0.0.39.0,,hete,,mod,false
critical,Ld1:0.1.0.9.0.0.48.0,,a worþi,,lit,false
critical,Ld1:0.1.0.9.0.0.48.0,,,,orig,false
critical,Ld1:0.1.0.9.0.0.48.0,,a worþi,,mod,false
critical,Ld2:0.1.0.1.0.0.28.0,,first,,lit,false
critical,Ld2:0.1.0.1.0.0.28.0,,,,orig,false
critical,Ld2:0.1.0.1.0.0.28.0,,first,,mod,false
critical,Ld2:0.1.0.3.0.0.10.4,,no,,lit,false
critical,Ld2:0.1.0.3.0.0.10.4,,,,orig,false
critical,Ld2:0.1.0.3.0.0.10.4,,no,,mod,false
critical,Ld2:0.1.0.8.0.0.22.0,,MydAndelburgh,,lit,false
critical,Ld2:0.1.0.8.0.0.22.0,,Andelburgh,,orig,false
critical,Ld2:0.1.0.8.0.0.22.0,,Myddelburgh,,mod,false
critical,Ld2:0.1.0.10.0.0.36.0,,hall,,lit,false
critical,Ld2:0.1.0.10.0.0.36.0,,all,,orig,false
critical,Ld2:0.1.0.10.0.0.36.0,,hall,,mod,false
critical,Ld2:0.1.0.10.0.0.50.0,,worthynother,,lit,false
critical,Ld2:0.1.0.10.0.0.50.0,,nother,,orig,false
critical,Ld2:0.1.0.10.0.0.50.0,,worthy,,mod,false
critical,Ld2:0.1.0.12.0.0.18.0,,þe,,lit,false
critical,Ld2:0.1.0.12.0.0.18.0,,,,orig,false
critical,Ld2:0.1.0.12.0.0.18.0,,þe,,mod,false
critical,Ld2:0.1.0.14.0.0.14.0,,arte þe,,lit,false
critical,Ld2:0.1.0.14.0.0.14.0,,,,orig,false
critical,Ld2:0.1.0.14.0.0.14.0,,arte þe,,mod,false
critical,Ld2:0.1.0.20.0.0.54.0,,he,,lit,false
critical,Ld2:0.1.0.20.0.0.54.0,,,,orig,false
critical,Ld2:0.1.0.20.0.0.54.0,,he,,mod,false
critical,Ld2:0.1.0.23.0.0.44.0,,it,,lit,false
critical,Ld2:0.1.0.23.0.0.44.0,,,,orig,false
critical,Ld2:0.1.0.23.0.0.44.0,,it,,mod,false
critical,Ld2:0.1.0.23.0.0.46.0,,youre,,lit,false
critical,Ld2:0.1.0.23.0.0.46.0,,oure,,orig,false
critical,Ld2:0.1.0.23.0.0.46.0,,youre,,mod,false
critical,Ld2:0.1.0.23.0.0.48.0,,tales,,lit,false
critical,Ld2:0.1.0.23.0.0.48.0,,tale,,orig,false
critical,Ld2:0.1.0.23.0.0.48.0,,tales,,mod,false
critical,Ld2:0.1.0.25.0.0.4.0,,ferst,,lit,false
critical,Ld2:0.1.0.25.0.0.4.0,,,,orig,false
critical,Ld2:0.1.0.25.0.0.4.0,,ferst,,mod,false
critical,Ld2:0.1.0.25.0.0.26.0,,he muste,,lit,false
critical,Ld2:0.1.0.25.0.0.26.0,,,,orig,false
critical,Ld2:0.1.0.25.0.0.26.0,,he muste,,mod,false
critical,Ln:0.1.0.0.0.1.17.0,,Der,,lit,false
critical,Ln:0.1.0.0.0.1.17.0,,Der,,orig,false
critical,Ln:0.1.0.0.0.1.17.0,,,,mod,false
critical,Ln:0.1.0.0.0.1.25.0,,it,,lit,false
critical,Ln:0.1.0.0.0.1.25.0,,it,,orig,false
critical,Ln:0.1.0.0.0.1.25.0,,,,mod,false
critical,Ln:0.1.0.0.0.1.25.1,,vndir,,lit,false
critical,Ln:0.1.0.0.0.1.25.1,,vndir,,orig,false
critical,Ln:0.1.0.0.0.1.25.1,,,,mod,false
critical,Ln:0.1.0.1.0.0.10.0,,\of/,,lit,false
critical,Ln:0.1.0.1.0.0.10.0,,,,orig,false
critical,Ln:0.1.0.1.0.0.10.0,,of,,mod,false
critical,Ln:0.1.0.2.0.0.56.0,,pore,,lit,false
critical,Ln:0.1.0.2.0.0.56.0,,,,orig,false
critical,Ln:0.1.0.2.0.0.56.0,,pore,,mod,false
critical,Ln:0.1.0.3.0.0.2.0,,added,,lit,false
critical,Ln:0.1.0.3.0.0.2.0,,adde,,orig,false
critical,Ln:0.1.0.3.0.0.2.0,,added,,mod,false
critical,Ln:0.1.0.4.0.0.10.0,,he rode,,lit,false
critical,Ln:0.1.0.4.0.0.10.0,,,,orig,false
critical,Ln:0.1.0.4.0.0.10.0,,he rode,,mod,false
critical,Ln:0.1.0.4.0.0.48.0,,gred,,lit,false
critical,Ln:0.1.0.4.0.0.48.0,,gred,,orig,false
critical,Ln:0.1.0.4.0.0.48.0,,gre,,mod,false
critical,Ln:0.1.0.7.0.0.28.0,,ch,,lit,false
critical,Ln:0.1.0.7.0.0.28.0,,ch,,orig,false
critical,Ln:0.1.0.7.0.0.28.0,,,,mod,false
critical,Ln:0.1.0.9.0.0.8.0,,ȝe,,lit,false
critical,Ln:0.1.0.9.0.0.8.0,,,,orig,false
critical,Ln:0.1.0.9.0.0.8.0,,ȝe,,mod,false
critical,Ln:0.1.0.10.0.0.40.0,,for,,lit,false
critical,Ln:0.1.0.10.0.0.40.0,,,,orig,false
critical,Ln:0.1.0.10.0.0.40.0,,for,,mod,false
critical,Ma:0.1.0.0.0.1.5.2,,vertu,,lit,false
critical,Ma:0.1.0.0.0.1.5.2,,vertu,,orig,false
critical,Ma:0.1.0.0.0.1.5.2,,,,mod,false
critical,Ma:0.1.0.6.0.0.62.0,,st,,lit,false
critical,Ma:0.1.0.6.0.0.62.0,,st,,orig,false
critical,Ma:0.1.0.6.0.0.62.0,,,,mod,false
critical,Ma:0.1.0.11.0.0.42.0,,gouernanoꝰus      goủernyng,,lit,false
critical,Ma:0.1.0.11.0.0.42.0,,gouernanous,,orig,false
critical,Ma:0.1.0.11.0.0.42.0,,gouernyng,,mod,false
critical,Mm:0.1.0.3.0.0.22.0,,was,,lit,false
critical,Mm:0.1.0.3.0.0.22.0,,was,,orig,false
critical,Mm:0.1.0.3.0.0.22.0,,,,mod,false
critical,Mm:0.1.0.5.0.0.42.2,,uiendedenvyned,,lit,false
critical,Mm:0.1.0.5.0.0.42.2,,envyned,,orig,false
critical,Mm:0.1.0.5.0.0.42.2,,uiended,,mod,false
critical,Ne:0.1.0.7.0.0.16.0,,sortune,,lit,false
critical,Ne:0.1.0.7.0.0.16.0,,sort,,orig,false
critical,Ne:0.1.0.7.0.0.16.0,,fortune,,mod,false
critical,Nl:0.1.0.2.0.0.44.0,,Begger,,lit,false
critical,Nl:0.1.0.2.0.0.44.0,,,,orig,false
critical,Nl:0.1.0.2.0.0.44.0,,Begger,,mod,false
critical,Ph2:0.1.0.10.0.0.10.0,,kn,,lit,false
critical,Ph2:0.1.0.10.0.0.10.0,,kn,,orig,false
critical,Ph2:0.1.0.10.0.0.10.0,,,,mod,false
critical,Ph2:0.1.0.10.0.0.64.2,,i,,lit,false
critical,Ph2:0.1.0.10.0.0.64.2,,i,,orig,false
critical,Ph2:0.1.0.10.0.0.64.2,,,,mod,false
critical,Ps:0.1.0.0.0.2.29.0,,sovht,,lit,false
critical,Ps:0.1.0.0.0.2.29.0,,,,orig,false
critical,Ps:0.1.0.0.0.2.29.0,,sovht,,mod,false
critical,Ps:0.1.0.0.0.2.150.0,,yt he,,lit,false
critical,Ps:0.1.0.0.0.2.150.0,,yt,,orig,false
critical,Ps:0.1.0.0.0.2.150.0,,,,mod,false
critical,Ps:0.1.0.0.0.2.174.0,,in,,lit,false
critical,Ps:0.1.0.0.0.2.174.0,,,,orig,false
critical,Ps:0.1.0.0.0.2.174.0,,in,,mod,false
critical,Ps:0.1.0.1.0.0.45.0,,good,,lit,false
critical,Ps:0.1.0.1.0.0.45.0,,good,,orig,false
critical,Ps:0.1.0.1.0.0.45.0,,,,mod,false
critical,Ps:0.1.0.1.0.0.67.0,,voyce nose,,lit,false
critical,Ps:0.1.0.1.0.0.67.0,,voyce,,orig,false
critical,Ps:0.1.0.1.0.0.67.0,,nose,,mod,false
critical,Ps:0.1.0.1.0.0.87.0,,ouer,,lit,false
critical,Ps:0.1.0.1.0.0.87.0,,,,orig,false
critical,Ps:0.1.0.1.0.0.87.0,,ouer,,mod,false
critical,Ps:0.1.0.1.0.0.114.0,,þat,,lit,false
critical,Ps:0.1.0.1.0.0.114.0,,,,orig,false
critical,Ps:0.1.0.1.0.0.114.0,,þat,,mod,false
critical,Ps:0.1.0.2.0.0.9.0,,make,,lit,false
